 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
Name Version
 
0trace 0.01-3kali3
abootimg 0.6-1+b2
acl 2.3.1-3
adduser 3.129
adwaita-icon-theme 43-1
aesfix 1.0.1-8
aeskeyfind 1:1.0-11
afflib-tools 3.7.20-1
afl++ 4.00c-1+b1
afl++-doc 4.04c-2
aircrack-ng 1:1.7-5
airgeddon 11.10+ds-0kali1
alsa-tools 1.2.5-2
alsa-topology-conf 1.2.5.1-2
alsa-ucm-conf 1.2.8-1
altdns 1.0.2-0kali1
amap 5.4-4kali3
amass 3.21.2-0kali1
amass-common 3.21.2-0kali1
amd64-microcode 3.20220411.1
androguard 3.4.0~a1-6
ant 1.10.13-1
ant-optional 1.10.13-1
apache-users 2.1-1kali6
apache2 2.4.57-2
apache2-bin 2.4.57-2
apache2-data 2.4.57-2
apache2-utils 2.4.57-2
apparmor 3.0.8-2
apple-bleee 0.1.5-0kali5
apt 2.6.0
apt-file 3.3
apt-listchanges 3.24
apt-transport-https 2.6.0
apt-utils 2.6.0
aptitude 0.8.13-5
aptitude-common 0.8.13-5
arandr 0.1.11-1
arj 3.10.22-26
arjun 2.2.1-0kali1
arp-scan 1.9.8-1
arping 2.23-1
arpwatch 2.1a15-8+b1
asleap 2.3~git20201128.254acab-0kali1
aspell 0.60.8-4+b1
aspell-en 2018.04.16-0-1
aspnetcore-runtime-3.1 3.1.26-1
aspnetcore-targeting-pack-3.1 3.1.10-1
assetfinder 0.1.0+git20200415-0kali1
at-spi2-core 2.44.1-1
atftpd 0.8.0-2
atmel-firmware 1.3-6
atril 1.26.0-1
atril-common 1.26.0-2
attr 1:2.5.1-4
audacity 3.3.3+dfsg-1
audacity-data 3.3.3+dfsg-1
autopsy 2.24-5
avahi-daemon 0.8-7
avahi-utils 0.8-7
awscli 1.24.8-1
axel 2.17.11-3
b374k 3.2.3-0kali3
b43-fwcutter 1:019-7
backdoor-factory 3.4.2+dfsg-5
base-files 1:2022.4.0
base-passwd 3.6.1
base58 1.0.3-2
bash 5.2.15-2
bash-completion 1:2.11-6
bed 0.5-1kali6
beef-xss 0.5.4.0+git20220823-0kali1
berate-ap 0.4.6+git20191120-0kali2
bettercap 2.32.0-1+b5
bettercap-caplets 0+git20210429-0kali1
bettercap-ui 1.3.0+really1.3.0-0kali1
bind9-dnsutils 1:9.18.10-2
bind9-host 1:9.18.10-2
bind9-libs:amd64 1:9.18.10-2
binfmt-support 2.2.2-2
bing-ip2hosts 1.0.5-0kali1
binutils 2.40-2
binutils-common:amd64 2.40-2
binutils-mingw-w64 2.39.90.20230110-1+10.3
binutils-mingw-w64-i686 2.39.90.20230110-1+10.3
binutils-mingw-w64-x86-64 2.39.90.20230110-1+10.3
binutils-x86-64-linux-gnu 2.40-2
binwalk 2.3.3+dfsg1-2
bladerf 0.2022.11-1
blender 3.4.1+dfsg-2+b1
blender-data 3.4.1+dfsg-2
blt 2.5.3+dfsg-4.1
bluelog 1.1.2-1kali3
blueman 2.3.5-2+b1
blueranger 0.1-1kali4
bluesnarfer 0.1-1kali2
bluez 5.66-1+kali1
bluez-firmware 1.2-8
bluez-hcidump 5.66-1+kali1
bluez-obexd 5.66-1+kali1
braa 0.82-7
bruteforce-salted-openssl 1.4.2-4
bruteforce-wallet 1.5.3-5+b1
bruteshark 1.2.5-0kali7
brutespray 1.8.1-1
bsd-mailx 8.1.2-0.20220412cvs-1
bsdextrautils 2.38.1-4
bsdutils 1:2.38.1-4
btscanner 2.1-9
bubblewrap 0.7.0-2
build-essential 12.9
bulk-extractor 2.0.0-0kali1
bully 1.4.00-2
bundler 2.3.15-2
busybox 1:1.35.0-4+b1
bzip2 1.0.8-5+b1
ca-certificates 20211016
ca-certificates-java 20230103
ca-certificates-mono 6.8.0.105+dfsg-3.3
cabextract 1.9-3
cadaver 0.24+dfsg-1
capstone-tool 4.0.2-5
catfish 4.16.4-2
ccrypt 1.11-2
celery 5.2.6-4
certgraph 20180911-0kali1
cewl 5.5.2-2
cgpt 0~R106-15054.B-1
cgroupfs-mount 1.4
changeme 1.2.3-3
chaosreader 0.96-12
cherrytree 0.99.47+dfsg-1
chirp 1:20221106+py3-1
chisel 1.7.4-0kali1
chkrootkit 0.55-4+b4
chntpw 140201-1
chromium 103.0.5060.134-1
chromium-common 103.0.5060.134-1
chromium-driver 103.0.5060.134-1
chromium-sandbox 103.0.5060.134-1
cifs-utils 2:7.0-2
cisco-auditing-tool 1.0-1kali4
cisco-global-exploiter 13-1kali5
cisco-ocs 0.2-1kali2
cisco-torch 0.4b-1kali5
clamav 1.0.1+dfsg-2
clamav-base 1.0.1+dfsg-2
clamav-freshclam 1.0.1+dfsg-2
clang 1:14.0-55.4
clang-13 1:13.0.1-11+b1
clang-14 1:14.0.6-2
cli-common 0.10+nmu1
cloud-enum 0.7-2
cloudbrute 1.0.7-0kali1
cmospwd 5.0+dfsg-3kali5
cmseek 1.1.3-0kali2
cntlm 0.92.3-1.2
code-oss 1.72.2-0kali3
coinor-libcbc3:amd64 2.10.8+ds1-1
coinor-libcgl1:amd64 0.60.3+repack1-4
coinor-libclp1:amd64 1.17.6-3
coinor-libcoinmp1v5:amd64 1.8.3-3
coinor-libcoinutils3v5:amd64 2.11.4+repack1-2
coinor-libosi1v5:amd64 0.108.6+repack1-2
colord 1.4.6-2.1
colord-data 1.4.6-2.1
command-not-found 20.10.1-1+kali3
commix 3.6-0kali1
console-setup 1.215
console-setup-linux 1.215
containerd 1.6.8~ds1-1
containerd.io 1.6.15-1
copy-router-config 1.0-1kali3
coreutils 9.1-1
cowpatty 4.8-3+b1
cpio 2.13+dfsg-7.1
cpp 4:11.2.0-2
cpp-11 11.3.0-11
cpp-12 12.2.0-14
crack 5.0a-13
crack-common 5.0a-13
crackle 0.1~git01282014-0kali3
crackmapexec 5.2.2-0kali1
cramfsswap 1.4.2
creddump7 0.1+git20190429-1.1
cron 3.0pl1-156
cron-daemon-common 3.0pl1-156
crowbar 4.2-0kali1
crunch 3.6-3
cryptcat 20031202-5kali5
cryptsetup 2:2.6.0-2
cryptsetup-bin 2:2.6.0-2
cryptsetup-initramfs 2:2.6.0-2
cryptsetup-nuke-password 4
cupid-hostapd 1:2.1-0.1kali5
cupid-wpasupplicant 1:2.1-0.1kali5
cups-pk-helper 0.2.6-1+b1
curl 7.87.0-1
curlftpfs 0.9.2-9+b1
cutecom 0.51.0-1
cutycapt 0.0~svn10-0.1+b2
cymothoa 1-beta-1kali2
cython3 0.29.32-2
dahdi-firmware-nonfree 2.11.1.0.20170917-1
darkstat 3.0.719-1+b1
dash 0.5.12-2
davtest 1.0-1kali5
dbd 1.50-1kali7
dbus 1.14.4-1
dbus-bin 1.14.4-1
dbus-daemon 1.14.4-1
dbus-session-bus-common 1.14.4-1
dbus-system-bus-common 1.14.4-1
dbus-user-session 1.14.4-1
dbus-x11 1.14.4-1
dc3dd 7.2.646-6
dcfldd 1.8-1
dconf-gsettings-backend:amd64 0.40.0-4
dconf-service 0.40.0-4
dcraw 9.28-3+b1
dctrl-tools 2.24-3+b1
ddrescue 1.99.11-0kali4
de4dot 3.1.41592.3405-2
debconf 1.5.82
debconf-i18n 1.5.82
debian-archive-keyring 2021.1.1
debian-faq 11.1
debianutils 5.7-0.4
debtags 2.1.5
default-mysql-server 1.0.8
defectdojo 2.12.0-0kali2
desktop-base 12.0.2+kali1
desktop-file-utils 0.26-1
device-tree-compiler 1.6.1-4
dhcpig 1.5-3
dictionaries-common 1.29.3
diffutils 1:3.8-3
dirb 2.22+dfsg-5
dirmngr 2.2.40-1
dirsearch 0.4.2+ds-3
dislocker 0.7.3-2.1
distro-info-data 0.56
dkms 3.0.10-6
dmeventd 2:1.02.185-2
