Host,Type,Min_Value,Max_Value
ca2,CPU,0.0,0.0
ca2,Memory,33.33,33.33
dev-p1-application,CPU,0.13,0.5
dev-p1-application,Memory,183.92,183.92
dev-p1-artifact,CPU,0.15,0.35
dev-p1-artifact,Memory,185.39,185.49
dev-p1-log,CPU,0.13,16.63
dev-p1-log,Memory,332.5,332.61
dev-p1-wrapper,CPU,0.13,0.33
dev-p1-wrapper,Memory,187.28,187.28
dev-p2-application,CPU,0.14,6.67
dev-p2-application,Memory,333.97,334.5
dev-p2-artifact,CPU,0.12,12.21
dev-p2-artifact,Memory,333.03,333.13
dev-p2-log,CPU,0.11,17.68
dev-p2-log,Memory,341.0,341.1
dev-p2-wrapper,CPU,0.13,14.34
dev-p2-wrapper,Memory,339.42,339.63
p1,CPU,2.89,17.64
p1,Memory,97.17,97.48
p2,CPU,2.66,19.94
p2,Memory,103.85,104.12
